lot_number,VAX_MANU,reports,serious_reports,deaths,total_doses_shipped,reports_per_million,serious_per_million,deaths_per_million,source_rows,source_files,source_sheets
EW1062,PFIZER\BIONTECH,13,1.0,0.0,11736.0,1107.7,85.21,0.0,44,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EL9269,PFIZER\BIONTECH,1980,675.0,206.0,8069015.0,245.38,83.65,25.53,1522,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
GH9702,PFIZER\BIONTECH,1913,397.0,19.0,4752507.0,402.52,83.53,4.0,8365,2023-00157-A-PHS-New-data-set.xlsx,#3 Data; Part2
EN6201,PFIZER\BIONTECH,3885,1253.0,311.0,15043577.0,258.25,83.29,20.67,4143,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
GH9693,PFIZER\BIONTECH,2333,416.0,31.0,5016505.0,465.06,82.93,6.18,8663,2023-00157-A-PHS-New-data-set.xlsx,#3 Data; Part2
EL0142,PFIZER\BIONTECH,2201,300.0,78.0,3639922.0,604.68,82.42,21.43,1557,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EWO164,PFIZER\BIONTECH,36,1.0,0.0,12155.0,2961.74,82.27,0.0,47,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
FE3950,PFIZER\BIONTECH,8,1.0,0.0,12177.0,656.98,82.12,0.0,52,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EJ1686,PFIZER\BIONTECH,2126,268.0,90.0,3272709.0,649.61,81.89,27.5,1466,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EL3022,PFIZER\BIONTECH,4,1.0,0.0,12383.0,323.02,80.76,0.0,45,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
FC3138,PFIZER\BIONTECH,6,1.0,1.0,12443.0,482.2,80.37,80.37,59,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EL3302,PFIZER\BIONTECH,1871,473.0,124.0,5897414.0,317.26,80.2,21.03,2385,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EN6200,PFIZER\BIONTECH,3395,1102.0,262.0,13890331.0,244.41,79.34,18.86,3473,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EN6202,PFIZER\BIONTECH,3316,1070.0,204.0,13619726.0,243.47,78.56,14.98,3305,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EL1283,PFIZER\BIONTECH,2985,537.0,89.0,6860631.0,435.09,78.27,12.97,1468,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EK9231,PFIZER\BIONTECH,4375,476.0,81.0,6198140.0,705.86,76.8,13.07,2248,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
PAA173697,PFIZER\BIONTECH,6,1.0,0.0,13112.0,457.6,76.27,0.0,44,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EJ1685,PFIZER\BIONTECH,2946,307.0,62.0,4112894.0,716.28,74.64,15.07,1827,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
301258A,PFIZER\BIONTECH,72,12.0,1.0,161689.0,445.3,74.22,6.18,86,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
EL1284,PFIZER\BIONTECH,2994,414.0,98.0,5739185.0,521.68,72.14,17.08,2082,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
EK5730,PFIZER\BIONTECH,4333,369.0,29.0,5124381.0,845.57,72.01,5.66,1748,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx; 22-01272-Pfizer-Shipped-2022-0426.xlsx; Amended-22-01962-Pfizer-2022-0426-pulled-2022-0823.xlsx,#3 Data; B2; C-Domestic; C2; Part2; Source File
330258D,PFIZER\BIONTECH,162,51.0,3.0,715738.0,226.34,71.26,4.19,166,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
301458A,PFIZER\BIONTECH,701,75.0,8.0,1067197.0,656.86,70.28,7.5,182,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
