manufacturer,lot_number,total_doses_shipped,source_rows,source_files,source_sheets
PFIZER,000EL9262,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,000M24A,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,000N62081,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,000TWQ834,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,000UNK,1.0,1,2023-00157-A-PHS-New-data-set.xlsx,#3 Data
PFIZER,000X00X,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,001,103.0,5,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0010028,7.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00100313891,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00100617,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,001006379,7.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00101082242,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00101089900,2.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,001010BA,1.0,1,2023-00157-A-PHS-New-data-set.xlsx,#3 Data
PFIZER,001021A,3.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,00102311881,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00102338812,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00102449500,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00103036629,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,001034,2.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0010359267100013,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00104A,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0010512053,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0010762892,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0010991227,2.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0011,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0011054,8.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0011143,4.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0011321A,3.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,00115818600,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,00117575600,6.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0011778442,2.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0011820,11.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0011A,11.0,3,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0011D21A,3.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0011F21A,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0011L,430.0,3,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0011L20A,4.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0011M20A,6.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,00121,1.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,001212A,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,00121A,2.0,2,2023-00157-A-PHS-New-data-set.xlsx; 22-01271-Pfizer-2022-0426.xlsx,#3 Data; C2
PFIZER,0012211,2.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
PFIZER,0012362,2.0,1,22-01271-Pfizer-2022-0426.xlsx,C2
