lot_number,VAX_MANU,total_doses_shipped,reports,serious_reports,deaths,reports_per_million,serious_per_million,deaths_per_million,expected_serious,serious_oe_ratio,expected_deaths,death_oe_ratio,serious_oe_ci_low,serious_oe_ci_high
FJ9943,PFIZER\BIONTECH,6440158.0,447,66.0,1.0,69.41,10.25,0.16,187.89,0.351,27.98,0.036,0.267,0.436
FL3197,PFIZER\BIONTECH,12742787.0,920,129.0,8.0,72.2,10.12,0.63,371.77,0.347,55.37,0.144,0.287,0.407
FK9893,PFIZER\BIONTECH,14702022.0,1213,148.0,18.0,82.51,10.07,1.22,428.93,0.345,63.88,0.282,0.289,0.401
FP7138,PFIZER\BIONTECH,3392622.0,619,34.0,5.0,182.45,10.02,1.47,98.98,0.344,14.74,0.339,0.228,0.459
FJ5682,PFIZER\BIONTECH,8315939.0,462,79.0,7.0,55.56,9.5,0.84,242.61,0.326,36.13,0.194,0.254,0.397
FJ4989,PFIZER\BIONTECH,8924150.0,622,85.0,8.0,69.7,9.52,0.9,260.36,0.326,38.78,0.206,0.257,0.396
FP7137,PFIZER\BIONTECH,3386093.0,387,31.0,1.0,114.29,9.16,0.3,98.79,0.314,14.71,0.068,0.203,0.424
FJ1614,PFIZER\BIONTECH,11445990.0,468,105.0,8.0,40.89,9.17,0.7,333.93,0.314,49.73,0.161,0.254,0.375
33130BA,PFIZER\BIONTECH,14340770.0,1099,129.0,12.0,76.63,9.0,0.84,418.39,0.308,62.31,0.193,0.255,0.362
FL3209,PFIZER\BIONTECH,11802830.0,638,96.0,9.0,54.05,8.13,0.76,344.34,0.279,51.29,0.175,0.223,0.335
P0001332,PFIZER\BIONTECH,246180.0,6,2.0,0.0,24.37,8.12,0.0,7.18,0.278,1.07,0.0,0.0,0.665
FK9895,PFIZER\BIONTECH,15823382.0,1266,125.0,15.0,80.01,7.9,0.95,461.64,0.271,68.75,0.218,0.223,0.318
